Temperature,Condition,Humidity,Wind Speed,Barometer,Dewpoint,Visibility,Heat Index,Last update,ZIP Code,City,State,Latitude,Longitude,Vegetation Estimate,Dryness Score,Dryness Level,Wind Chill
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35034,Brent,Alabama,32.9357,-87.2114,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35035,Brierfield,Alabama,33.0427,-86.9517,Mixed/Unknown,2.0,Normal,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35036,Brookside,Alabama,33.6379,-86.9167,Mixed/Unknown,3.0,Dry,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35040,Calera,Alabama,33.1098,-86.756,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35042,Centreville,Alabama,32.9503,-87.1192,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35043,Chelsea,Alabama,33.2982,-86.6563,Mixed/Unknown,2.0,Normal,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35044,Childersburg,Alabama,33.2459,-86.3641,Mixed/Unknown,3.0,Dry,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35045,Clanton,Alabama,32.8355,-86.6425,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35046,Clanton,Alabama,32.9229,-86.545,Mixed/Unknown,2.0,Normal,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35049,Cleveland,Alabama,33.9778,-86.5598,Mixed/Unknown,3.0,Dry,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35051,Columbiana,Alabama,33.177,-86.6161,Mixed/Unknown,2.0,Normal,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35052,Cook Springs,Alabama,33.5895,-86.3923,Mixed/Unknown,3.0,Dry,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35053,Crane Hill,Alabama,34.0821,-87.0484,Mixed/Unknown,3.0,Dry,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35054,Cropwell,Alabama,33.5296,-86.3007,Mixed/Unknown,3.0,Dry,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35055,Cullman,Alabama,34.1761,-86.8298,Mixed/Unknown,3.0,Dry,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35057,Cullman,Alabama,34.0878,-86.9447,Mixed/Unknown,3.0,Dry,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35058,Cullman,Alabama,34.2098,-86.752,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35060,Docena,Alabama,33.5589,-86.9294,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35061,Dolomite,Alabama,33.4654,-86.9564,Mixed/Unknown,3.0,Dry,
73.0,Fair,94.0,5.0,29.89,72.0,9.0,,5 Apr 7:55 pm CDT,35062,Dora,Alabama,33.7357,-87.0546,Mixed/Unknown,2.0,Normal,
73.0,Fair,94.0,5.0,29.89,72.0,9.0,,5 Apr 7:55 pm CDT,35063,Empire,Alabama,33.8256,-87.0161,Mixed/Unknown,2.0,Normal,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35064,Fairfield,Alabama,33.4735,-86.9183,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35068,Fultondale,Alabama,33.6017,-86.8265,Mixed/Unknown,3.0,Dry,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35070,Garden City,Alabama,34.0058,-86.7499,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35071,Gardendale,Alabama,33.7189,-86.8225,Mixed/Unknown,3.0,Dry,
83.0,Fair,60.0,6.0,29.98,67.0,10.0,86°F (30°C),5 Apr 7:55 pm CDT,35072,Goodwater,Alabama,33.0746,-86.0781,Mixed/Unknown,2.0,Normal,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35073,Graysville,Alabama,33.6539,-86.9803,Mixed/Unknown,3.0,Dry,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35074,Green Pond,Alabama,33.2251,-87.1264,Mixed/Unknown,2.0,Normal,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35077,Hanceville,Alabama,34.0516,-86.7848,Mixed/Unknown,3.0,Dry,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35078,Harpersville,Alabama,33.3234,-86.4424,Mixed/Unknown,3.0,Dry,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35079,Hayden,Alabama,33.9534,-86.7455,Mixed/Unknown,3.0,Dry,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35080,Helena,Alabama,33.2663,-86.902,Mixed/Unknown,2.0,Normal,
83.0,Fair,60.0,6.0,29.98,67.0,10.0,86°F (30°C),5 Apr 7:55 pm CDT,35082,Hollins,Alabama,33.1162,-86.1386,Mixed/Unknown,2.0,Normal,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35083,Holly Pond,Alabama,34.1901,-86.6174,Mixed/Unknown,3.0,Dry,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35085,Jemison,Alabama,32.9805,-86.7181,Mixed/Unknown,2.0,Normal,
79.0,Partly Cloudy,61.0,9.0,29.93,64.0,10.0,81°F (27°C),5 Apr 7:55 pm CDT,35087,Joppa,Alabama,34.2837,-86.5519,Mixed/Unknown,3.0,Dry,
83.0,Fair,60.0,6.0,29.98,67.0,10.0,86°F (30°C),5 Apr 7:55 pm CDT,35089,Kellyton,Alabama,32.9791,-86.0484,Mixed/Unknown,2.0,Normal,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35091,Kimberly,Alabama,33.7684,-86.8084,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35094,Leeds,Alabama,33.5283,-86.5748,Mixed/Unknown,3.0,Dry,
81.0,Mostly Cloudy,58.0,10.0,29.93,64.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35096,Lincoln,Alabama,33.6059,-86.1112,Mixed/Unknown,2.0,Normal,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35097,Locust Fork,Alabama,33.905,-86.6261,Mixed/Unknown,3.0,Dry,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35098,Logan,Alabama,34.1377,-87.0266,Mixed/Unknown,3.0,Dry,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35111,McCalla,Alabama,33.2845,-87.1024,Mixed/Unknown,2.0,Normal,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35112,Margaret,Alabama,33.6862,-86.475,Mixed/Unknown,3.0,Dry,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35114,Alabaster,Alabama,33.2317,-86.8727,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35115,Montevallo,Alabama,33.1248,-86.8622,Mixed/Unknown,2.0,Normal,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35116,Morris,Alabama,33.7392,-86.7726,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35117,Mount Olive,Alabama,33.6768,-86.8717,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35118,Mulga,Alabama,33.5363,-87.051,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35119,New Castle,Alabama,33.649,-86.7686,Mixed/Unknown,3.0,Dry,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35120,Odenville,Alabama,33.6756,-86.409,Mixed/Unknown,3.0,Dry,
80.0,Fair,56.0,9.0,29.94,63.0,10.0,81°F (27°C),5 Apr 7:56 pm CDT,35121,Oneonta,Alabama,33.9259,-86.4741,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35124,Pelham,Alabama,33.2932,-86.768,Mixed/Unknown,2.0,Normal,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35125,Pell City,Alabama,33.5979,-86.3432,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35126,Pinson,Alabama,33.7299,-86.6451,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35127,Pleasant Grove,Alabama,33.4883,-86.9766,Mixed/Unknown,3.0,Dry,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35128,Pell City,Alabama,33.5873,-86.3366,Mixed/Unknown,3.0,Dry,
73.0,Fair,94.0,5.0,29.89,72.0,9.0,,5 Apr 7:55 pm CDT,35130,Quinton,Alabama,33.6561,-87.1007,Mixed/Unknown,2.0,Normal,
81.0,Mostly Cloudy,58.0,10.0,29.93,64.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35131,Ragland,Alabama,33.7367,-86.1619,Mixed/Unknown,2.0,Normal,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35133,Remlap,Alabama,33.8168,-86.6008,Mixed/Unknown,3.0,Dry,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35135,Riverside,Alabama,33.6166,-86.1996,Mixed/Unknown,3.0,Dry,
83.0,Fair,60.0,6.0,29.98,67.0,10.0,86°F (30°C),5 Apr 7:55 pm CDT,35136,Rockford,Alabama,32.878,-86.24,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35143,Shelby,Alabama,33.0785,-86.5536,Mixed/Unknown,2.0,Normal,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35146,Springville,Alabama,33.7386,-86.4394,Mixed/Unknown,3.0,Dry,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35147,Sterrett,Alabama,33.4461,-86.4917,Mixed/Unknown,3.0,Dry,
73.0,Fair,94.0,5.0,29.89,72.0,9.0,,5 Apr 7:55 pm CDT,35148,Sumiton,Alabama,33.768,-87.0445,Mixed/Unknown,2.0,Normal,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35149,Sycamore,Alabama,33.2512,-86.2025,Mixed/Unknown,3.0,Dry,
83.0,Fair,60.0,6.0,29.98,67.0,10.0,86°F (30°C),5 Apr 7:55 pm CDT,35150,Sylacauga,Alabama,33.1717,-86.2713,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35151,Sylacauga,Alabama,33.1756,-86.3574,Mixed/Unknown,2.0,Normal,
81.0,Mostly Cloudy,58.0,10.0,29.93,64.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35160,Talladega,Alabama,33.4354,-86.1134,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35171,Thorsby,Alabama,32.9157,-86.7158,Mixed/Unknown,2.0,Normal,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35172,Trafford,Alabama,33.819,-86.7434,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35173,Trussville,Alabama,33.6339,-86.5981,Mixed/Unknown,3.0,Dry,
79.0,Partly Cloudy,61.0,9.0,29.93,64.0,10.0,81°F (27°C),5 Apr 7:55 pm CDT,35175,Union Grove,Alabama,34.4093,-86.4628,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35176,Vandiver,Alabama,33.4807,-86.5013,Mixed/Unknown,3.0,Dry,
81.0,Overcast,62.0,12.0,29.94,66.0,10.0,83°F (28°C),5 Apr 7:55 pm CDT,35178,Vincent,Alabama,33.401,-86.3994,Mixed/Unknown,3.0,Dry,
77.0,Light Rain,69.0,13.0,29.91,66.0,10.0,79°F (26°C),5 Apr 7:55 pm CDT,35179,Vinemont,Alabama,34.2621,-86.9125,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35180,Warrior,Alabama,33.8529,-86.8198,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35181,Watson,Alabama,33.5446,-86.9292,Mixed/Unknown,3.0,Dry,
83.0,Fair,60.0,6.0,29.98,67.0,10.0,86°F (30°C),5 Apr 7:55 pm CDT,35183,Weogufka,Alabama,33.0238,-86.3042,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35184,West Blocton,Alabama,33.1424,-87.1369,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35185,Westover,Alabama,33.3356,-86.5437,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35186,Wilsonville,Alabama,33.2293,-86.5299,Mixed/Unknown,2.0,Normal,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35188,Woodstock,Alabama,33.2068,-87.15,Mixed/Unknown,2.0,Normal,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35203,Birmingham,Alabama,33.521,-86.8066,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35204,Birmingham,Alabama,33.5179,-86.8372,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35205,Birmingham,Alabama,33.4951,-86.8059,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35206,Birmingham,Alabama,33.5678,-86.7199,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35207,Birmingham,Alabama,33.5594,-86.8153,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35208,Birmingham,Alabama,33.4977,-86.8799,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35209,Birmingham,Alabama,33.4653,-86.8082,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35210,Birmingham,Alabama,33.5452,-86.6655,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35211,Birmingham,Alabama,33.4816,-86.859,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35212,Birmingham,Alabama,33.5409,-86.7495,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35213,Birmingham,Alabama,33.5066,-86.7428,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35214,Birmingham,Alabama,33.5554,-86.887,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35215,Birmingham,Alabama,33.6493,-86.7057,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35216,Birmingham,Alabama,33.4188,-86.7867,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35217,Birmingham,Alabama,33.5887,-86.765,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35218,Birmingham,Alabama,33.506,-86.893,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35221,Birmingham,Alabama,33.4523,-86.8935,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35222,Birmingham,Alabama,33.5219,-86.7666,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35223,Birmingham,Alabama,33.4995,-86.7268,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35224,Birmingham,Alabama,33.5191,-86.9342,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35226,Birmingham,Alabama,33.3967,-86.8346,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35228,Birmingham,Alabama,33.4558,-86.9118,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35229,Birmingham,Alabama,33.4629,-86.7904,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35233,Birmingham,Alabama,33.5062,-86.8003,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35234,Birmingham,Alabama,33.5378,-86.8068,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35235,Birmingham,Alabama,33.6328,-86.6493,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35242,Birmingham,Alabama,33.3813,-86.7046,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35243,Birmingham,Alabama,33.4459,-86.7502,Mixed/Unknown,3.0,Dry,
78.0,Partly Cloudy,67.0,10.0,29.93,66.0,10.0,80°F (27°C),5 Apr 7:53 pm CDT,35244,Birmingham,Alabama,33.3538,-86.8254,Mixed/Unknown,2.0,Normal,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35249,Birmingham,Alabama,33.5207,-86.8025,Mixed/Unknown,3.0,Dry,
79.0,Mostly Cloudy,62.0,15.0,29.94,65.0,10.0,81°F (27°C),5 Apr 7:53 pm CDT,35254,Birmingham,Alabama,33.5446,-86.9292,Mixed/Unknown,3.0,Dry,
76.0,Fair,82.0,10.0,29.88,70.0,9.0,77°F (25°C),5 Apr 7:53 pm CDT,35401,Tuscaloosa,Alabama,33.1969,-87.5627,Mixed/Unknown,2.0,Normal,
76.0,Fair,82.0,10.0,29.88,70.0,9.0,77°F (25°C),5 Apr 7:53 pm CDT,35404,Tuscaloosa,Alabama,33.1826,-87.4827,Mixed/Unknown,2.0,Normal,
76.0,Fair,82.0,10.0,29.88,70.0,9.0,77°F (25°C),5 Apr 7:53 pm CDT,35405,Tuscaloosa,Alabama,33.1617,-87.5144,Mixed/Unknown,2.0,Normal,
76.0,Fair,82.0,10.0,29.88,70.0,9.0,77°F (25°C),5 Apr 7:53 pm CDT,35406,Tuscaloosa,Alabama,33.2722,-87.536,Mixed/Unknown,2.0,Normal,
76.0,Fair,82.0,10.0,29.88,70.0,9.0,77°F (25°C),5 Apr 7:53 pm CDT,35441,Akron,Alabama,32.8553,-87.7219,Mixed/Unknown,2.0,Normal,
76.0,Fair,82.0,10.0,29.88,70.0,9.0,77°F (25°C),5 Apr 7:53 pm CDT,35442,Aliceville,Alabama,33.1228,-88.1667,Mixed/Unknown,2.0,Normal,
,,,,,,,,*** Not a current observation ***,35443,Boligee,Alabama,32.7746,-88.0267,Mixed/Unknown,,Normal,
76.0,Fair,82.0,10.0,29.88,70.0,9.0,77°F (25°C),5 Apr 7:53 pm CDT,35444,Brookwood,Alabama,33.2775,-87.309,Mixed/Unknown,2.0,Normal,
76.0,Fair,82.0,10.0,29.88,70.0,9.0,77°F (25°C),5 Apr 7:53 pm CDT,35446,Buhl,Alabama,33.2306,-87.7547,Mixed/Unknown,2.0,Normal,
